id,user,uid,version,changeset,timestamp
268332663,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:11Z
268332667,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:11Z
268332671,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:12Z
268332675,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:12Z
268332679,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:12Z
268332683,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:12Z
268332687,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:13Z
268332691,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:13Z
268332695,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:14Z
268332699,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:14Z
268332703,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:14Z
268332707,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:14Z
268332711,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:15Z
268332715,Saikrishna_FultonCountyImport,1981121,1,21265502,2014-03-23T14:47:15Z
268403525,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:14Z
268403529,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:15Z
268403534,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:15Z
268403546,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:16Z
268403555,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:16Z
268403569,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:17Z
268403584,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:18Z
268403592,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:18Z
268403596,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:19Z
268403600,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:19Z
268403604,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:20Z
268403608,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:20Z
268403613,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:20Z
268403617,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:21Z
268403621,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:21Z
268403625,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:22Z
268403629,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:22Z
268403633,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:23Z
268403640,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:23Z
268403645,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:23Z
268403649,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:24Z
268403653,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:24Z
268403657,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:25Z
268403662,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:25Z
268403667,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:26Z
268403671,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:26Z
268403675,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:27Z
268403679,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:27Z
268403683,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:28Z
268403687,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:28Z
268403691,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:28Z
268403695,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:29Z
268403699,Saikrishna_FultonCountyImport,1981121,1,21270095,2014-03-23T18:21:29Z
